Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,Total_Injuries
20001214X45013,Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,,,ORD,O'HARE,Incident,Minor,Airplane,N898AA,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,,0,0,0,100,VMC,Taxi,Probable Cause,11-06-2018,0
20001214X45188,Accident,NYC84LA028,1983-11-13,"MARTHA'S VINEYARD, MA",United States,,,,,Fatal,Substantial,Airplane,N1882D,Beech,C35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Climb,Probable Cause,05-05-2011,0
20001214X45339,Accident,LAX84LA110,1983-12-22,"SANTA ROSA ISLAND, CA",United States,,,,PRIVATE,Fatal,Substantial,Airplane,N2697K,Cessna,180K,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Takeoff,Probable Cause,01-02-2016,0
20001214X38957,Accident,ATL84LA120,1984-03-14,"MYRTLE BEACH, SC",United States,,,CRE,GRAND STRAND,Fatal,Substantial,Airplane,N7994R,Beech,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Mountain Air Cargo, Inc.",0,0,0,1,VMC,Landing,Probable Cause,24-09-2018,0
20001214X40033,Accident,MIA84LA182,1984-06-11,"FT. LAUDERDALE, FL",United States,,,FXE,FT. LAUDERDALE EXECUTIVE,Fatal,Substantial,Airplane,N29994,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,4,VMC,Approach,Probable Cause,13-09-2011,0
20001214X39980,Accident,LAX84LA349,1984-06-11,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INT'L,Fatal,Substantial,Airplane,N501PA,Lockheed,L-1011-385-3,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,,0,0,0,157,VMC,Takeoff,Probable Cause,09-12-2011,0
20001214X40407,Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,,,,,Fatal,Destroyed,Airplane,N4025,Piper,PA-18-150,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,1,0,0,0,VMC,Maneuvering,Probable Cause,15-12-2009,1
20001214X41363,Incident,FTW85IA028,1984-10-26,"TULSA, OK",United States,,,TUL,TULSA INTL',Incident,Minor,Airplane,N511SS,Swearingen,SA226TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Scheduled Skyways,0,0,0,9,IMC,Cruise,Probable Cause,05-06-2019,0
20001214X41647,Accident,MKC85LA019,1984-11-09,"JUNCTION CITY, KS",United States,,,3JC,JUNCTION CITY MUNI,Fatal,Substantial,Airplane,N13030,Cessna,R172E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Approach,Probable Cause,02-05-2011,0
20001214X41706,Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,,,PSK,NEW RIVER VALLEY,Fatal,Destroyed,Airplane,N4963D,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,,Skydiving,,1,0,0,0,VMC,Maneuvering,Probable Cause,17-10-2016,1
20001214X35509,Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,,,,,Fatal,Destroyed,Airplane,N759WB,Cessna,182Q,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,1,1,0,VMC,Maneuvering,Probable Cause,12-01-2016,2
20001214X36510,Accident,LAX85LA257,1985-05-13,"MESA, AZ",United States,,,FFZ,FALCON FLD.,Fatal,Destroyed,Airplane,N4661V,Cessna,T303,No,2.0,Reciprocating,Part 91: General Aviation,,Positioning,,0,1,0,0,VMC,Approach,Probable Cause,03-08-2011,1
20001214X36887,Accident,NYC85FA145B,1985-06-11,"BELMAR, NJ",United States,,,BLM,BELMAR MONMOUTH CO.,Fatal,Destroyed,Airplane,N4956B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,1,1,4,0,VMC,Takeoff,Probable Cause,08-04-2013,6
20001214X37274,Accident,NYC85LA188,1985-07-21,"SIDNEY, ME",United States,,,,,Fatal,Substantial,Airplane,N6668L,Lake,LA-4,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,4,VMC,Takeoff,Probable Cause,01-02-2016,0
20001214X37356,Incident,ATL85IA251,1985-08-16,"HILTON HEAD, SC",United States,,,49J,HILTON HEAD,Incident,Substantial,Airplane,N2624D,Cessna,441,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,0,0,0,4,VMC,Landing,Probable Cause,26-07-2011,0
